Month,Year,County,Med_Sales,Rec_Sales,Med_Blank_Code,Rec_Blank_Code
2,2016,Boulder,2517617,4477304,,
2,2016,Broomfield,,,NL,NL
2,2016,Chaffee,,281840,NR,
2,2016,Cheyenne,,,NL,NL
2,2016,Clear Creek,89373,535811,,
2,2016,Conejos,,163449,NL,
2,2016,Costilla,,153417,NR,
2,2016,Crowley,,,NL,NL
2,2016,Custer,,,NL,NL
2,2016,Delta,,,NL,NL
2,2016,Denver,15302180,19129746,,
2,2016,Dolores,,,NL,NL
2,2016,Douglas,,,NL,NL
2,2016,Eagle,234659,1176777,,
2,2016,Elbert,,,NL,NL
2,2016,El Paso,7548713,,,NR
2,2016,Fremont,,,NR,NL
2,2016,Garfield,386348,860185,,
2,2016,Gilpin,,172887,NR,
2,2016,Grand,,279018,NR,
2,2016,Gunnison,,413264,NR,
2,2016,Hinsdale,,,NL,NL
2,2016,Huerfano,,,NL,NR
2,2016,Jackson,,,NL,NL
2,2016,Jefferson,1589401,2970642,,
2,2016,Kiowa,,,NL,NL
2,2016,Kit Carson,,,NL,NL
2,2016,Lake,,,NL,NR
2,2016,La Plata,360382,1484507,,
2,2016,Larimer,1341468,2878307,,
2,2016,Las Animas,,1012648,NR,
2,2016,Lincoln,,,NL,NL
2,2016,Logan,,,NL,NL
2,2016,Mesa,,,NR,NR
2,2016,Mineral,,,NL,NL
2,2016,Moffat,,,NR,NL
2,2016,Montezuma,102860,600808,,
2,2016,Montrose,,,NR,NL
2,2016,Morgan,,,NR,NR
2,2016,Otero,,,NL,NL
2,2016,Ouray,,,NR,NR
2,2016,Park,,176302,NR,
2,2016,Phillips,,,NL,NL
2,2016,Pitkin,95627,964350,,
2,2016,Prowers,,,NL,NL
2,2016,Pueblo,980275,1686427,,
2,2016,Rio Blanco,,,NL,NL
2,2016,Rio Grande,,,NL,NL
2,2016,Routt,193928,772020,,
2,2016,Saguache,,,NL,NR
2,2016,San Juan,,,NL,NR
2,2016,San Miguel,46544,339892,,
2,2016,Sedgwick,,,NR,NR
2,2016,Summit,212147,2116576,,
2,2016,Teller,,,NR,NL
2,2016,Washington,,,NL,NL
2,2016,Weld,395983,1866786,,
2,2016,Yuma,,,NL,NL
2,2017,Adams,602151,4117924,,
2,2017,Alamosa,,,NR,NL
2,2017,Arapahoe,1330979,8243087,,
2,2017,Archuleta,,498578,NR,
2,2017,Baca,,,NL,NL
2,2017,Bent,,,NL,NL
2,2017,Boulder,1728022,5165008,,
2,2017,Broomfield,,,NL,NL
2,2017,Chaffee,,311277,NR,
2,2017,Cheyenne,,,NL,NL
2,2017,Clear Creek,59126,551247,,
2,2017,Conejos,,331768,NL,
2,2017,Costilla,,214658,NR,
2,2017,Crowley,,,NL,NL
2,2017,Custer,,,NL,NL
2,2017,Delta,,,NL,NL
2,2017,Denver,14300291,25223748,,
2,2017,Dolores,,,NL,NL
2,2017,Douglas,,,NL,NL
2,2017,Eagle,136357,1277562,,
2,2017,Elbert,,,NL,NL
2,2017,El Paso,7876520,,,NR
2,2017,Fremont,164115,,,NL
2,2017,Garfield,274508,1492785,,
2,2017,Gilpin,,180512,NR,
2,2017,Grand,,366095,NR,
2,2017,Gunnison,,493440,NR,
2,2017,Hinsdale,,,NL,NL
2,2017,Huerfano,,,NL,NR
2,2017,Jackson,,,NL,NL
2,2017,Jefferson,1519126,3970982,,
2,2017,Kiowa,,,NL,NL
2,2017,Kit Carson,,,NL,NL
2,2017,Lake,,187885,NL,
2,2017,La Plata,282052,1708769,,
2,2017,Larimer,1041868,3771110,,
2,2017,Las Animas,31212,2558480,,
2,2017,Lincoln,,,NL,NL
2,2017,Logan,,,NL,NL
2,2017,Mesa,,,NR,NR
2,2017,Mineral,,,NL,NL
2,2017,Moffat,,,NR,NL
2,2017,Montezuma,57030,1275430,,
2,2017,Montrose,,,NR,NL
2,2017,Morgan,,623494,NR,
2,2017,Otero,,,NR,NL
2,2017,Ouray,,331947,NR,
2,2017,Park,,275968,NR,
2,2017,Phillips,,,NL,NL
2,2017,Pitkin,64017,1076901,,
2,2017,Prowers,,,NL,NL
2,2017,Pueblo,562271,2575500,,
2,2017,Rio Blanco,,,NL,NL
2,2017,Rio Grande,,,NL,NL
2,2017,Routt,161179,912576,,
2,2017,Saguache,,,NL,NR
2,2017,San Juan,,,NL,NR
2,2017,San Miguel,22889,394742,,
2,2017,Sedgwick,,,NR,NR
2,2017,Summit,138716,2403241,,
2,2017,Teller,,,NR,NL
2,2017,Washington,,,NL,NL
2,2017,Weld,270319,2440896,,
2,2017,Yuma,,,NL,NL
2,2018,Adams,686490,5562602,,
2,2018,Alamosa,,,NR,NL
2,2018,Arapahoe,788639,8659080,,
2,2018,Archuleta,,568046,NR,
2,2018,Baca,,,NL,NL
2,2018,Bent,,,NL,NL
2,2018,Boulder,1481838,5937258,,
2,2018,Broomfield,,,NL,NL
2,2018,Chaffee,,364706,NR,
2,2018,Cheyenne,,,NL,NL
2,2018,Clear Creek,28097,578860,,
2,2018,Conejos,,383902,NL,
2,2018,Costilla,,254480,NL,
2,2018,Crowley,,,NL,NL
2,2018,Custer,,,NL,NL
2,2018,Delta,,,NL,NL
2,2018,Denver,11430319,27629202,,
2,2018,Dolores,,,NL,NL
2,2018,Douglas,,,NL,NL
2,2018,Eagle,119561,1633799,,
2,2018,Elbert,,,NL,NL
2,2018,El Paso,7412365,,,NR
2,2018,Fremont,134945,,,NL
2,2018,Garfield,239710,1361931,,
2,2018,Gilpin,,162046,NR,
2,2018,Grand,,455352,NR,
2,2018,Gunnison,,518883,NL,
2,2018,Hinsdale,,,NL,NL
2,2018,Huerfano,,,NL,NR
2,2018,Jackson,,,NL,NL
2,2018,Jefferson,1205386,3648040,,
2,2018,Kiowa,,,NL,NL
2,2018,Kit Carson,,,NL,NL
2,2018,Lake,,197617,NL,
2,2018,La Plata,277446,1752698,,
2,2018,Larimer,1057880,4825740,,
2,2018,Las Animas,36072,3477803,,
2,2018,Lincoln,,,NL,NL
2,2018,Logan,,,NL,NL
2,2018,Mesa,,1179371,NR,
2,2018,Mineral,,,NL,NL
2,2018,Moffat,,,NR,NL
2,2018,Montezuma,52213,1646139,,
2,2018,Montrose,,,NR,NL
2,2018,Morgan,,821939,NR,
2,2018,Otero,,,NR,NL
2,2018,Ouray,,436779,NR,
2,2018,Park,,303972,NR,
2,2018,Phillips,,,NL,NL
2,2018,Pitkin,58230,1215285,,
2,2018,Prowers,,,NL,NL
2,2018,Pueblo,508986,3697366,,
2,2018,Rio Blanco,,,NL,NL
2,2018,Rio Grande,,,NL,NL
2,2018,Routt,158779,1072374,,
2,2018,Saguache,,98025,NL,
2,2018,San Juan,,,NL,NR
2,2018,San Miguel,,428164,NR,
2,2018,Sedgwick,,,NR,NR
2,2018,Summit,106905,2548153,,
2,2018,Teller,,,NL,NL
2,2018,Washington,,,NL,NL
2,2018,Weld,327679,2298788,,
2,2018,Yuma,,,NL,NL
3,2014,Adams,477275,,,NR
3,2014,Alamosa,,,NR,NL
3,2014,Arapahoe,1490219,,,NL
3,2014,Archuleta,,,NR,NL
3,2014,Baca,,,NL,NL
3,2014,Bent,,,NL,NL
3,2014,Boulder,3505875,1396479,,
3,2014,Broomfield,,,NL,NL
3,2014,Chaffee,,,NR,NL
3,2014,Cheyenne,,,NL,NL
3,2014,Clear Creek,106955,524541,,
3,2014,Conejos,,,NL,NL
3,2014,Costilla,,,NR,NL
3,2014,Crowley,,,NL,NL
3,2014,Custer,,,NL,NL
3,2014,Delta,,,NL,NL
3,2014,Denver,16102218,10746117,,
3,2014,Dolores,,,NL,NL
3,2014,Douglas,,,NL,NL
3,2014,Eagle,201147,,,NL
3,2014,Elbert,,,NL,NL
3,2014,El Paso,5929766,,,NL
3,2014,Fremont,222270,,,NL
3,2014,Garfield,401766,,,NR
