stateabbrv,statename,stfips,areatyname,areaname,areatype,area,periodyear,periodtype,pertypdesc,period,inctype,incdesc,incsource,incsrcdesc,income,incrank,population,releasedate
CO,Colorado,8,County,Arapahoe County,4,5,2006,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),45766,10,531619,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2006,1,Annual,0,3,Median Household Income - United States Census,1,Census,55804,15,532347,
CO,Colorado,8,County,Arapahoe County,4,5,2007,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),25387528000,2,542039,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2007,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),46837,11,542039,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2007,1,Annual,0,3,Median Household Income - United States Census,1,Census,59299,15,543414,
CO,Colorado,8,County,Arapahoe County,4,5,2008,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),24431237000,2,552461,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2008,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),44223,15,552461,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2008,1,Annual,0,3,Median Household Income - United States Census,1,Census,59320,15,554372,
CO,Colorado,8,County,Arapahoe County,4,5,2009,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),22415191000,4,563161,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2009,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),39802,19,563161,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2009,1,Annual,0,3,Median Household Income - United States Census,1,Census,56099,20,565360,
CO,Colorado,8,County,Arapahoe County,4,5,2010,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),22757930000,4,574727,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2010,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),39598,16,574727,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2010,1,Annual,0,3,Median Household Income - United States Census,1,Census,58152,17,572003,
CO,Colorado,8,County,Arapahoe County,4,5,2011,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),26624868000,2,586033,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2011,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),45432,12,586033,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2011,1,Annual,0,3,Median Household Income - United States Census,1,Census,57042,NULL,NULL,
CO,Colorado,8,County,Arapahoe County,4,5,2012,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),28374768000,2,596383,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2012,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),47578,11,596383,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2012,1,Annual,0,3,Median Household Income - United States Census,1,Census,60525,NULL,NULL,
CO,Colorado,8,County,Arapahoe County,4,5,2013,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),29684076000,2,608403,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2013,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),48790,16,608403,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2013,1,Annual,0,3,Median Household Income - United States Census,1,Census,61092,NULL,NULL,
CO,Colorado,8,County,Arapahoe County,4,5,2014,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),32061435000,2,619634,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2014,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),51743,13,619634,20161117
CO,Colorado,8,County,Arapahoe County,4,5,2014,1,Annual,0,3,Median Household Income - United States Census,1,Census,65359,NULL,NULL,
CO,Colorado,8,County,Arapahoe County,4,5,2015,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),33160632000,26,631096,20170628
CO,Colorado,8,County,Arapahoe County,4,5,2015,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),52545,13,631096,20170628
CO,Colorado,8,County,Arapahoe County,4,5,2015,1,Annual,0,3,Median Household Income - United States Census,1,Census,67062,NULL,NULL,
CO,Colorado,8,County,Arapahoe County,4,5,2016,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),34689868000,2,637068,20180808
CO,Colorado,8,County,Arapahoe County,4,5,2016,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),54452,13,637068,20180808
CO,Colorado,8,County,Arapahoe County,4,5,2016,1,Annual,0,3,Median Household Income - United States Census,1,Census,70866,NULL,NULL,
CO,Colorado,8,County,Arapahoe County,4,5,2017,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),36423679000,2,643052,20190131
CO,Colorado,8,County,Arapahoe County,4,5,2017,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),56642,14,643052,20190131
CO,Colorado,8,County,Archuleta County,4,7,1969,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),10064000,48,2615,20151119
CO,Colorado,8,County,Archuleta County,4,7,1969,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),3849,13,2615,20151119
CO,Colorado,8,County,Archuleta County,4,7,1970,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),8959000,51,2687,20151119
CO,Colorado,8,County,Archuleta County,4,7,1970,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),3334,39,2687,20151119
CO,Colorado,8,County,Archuleta County,4,7,1971,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),9724000,51,2490,20151119
CO,Colorado,8,County,Archuleta County,4,7,1971,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),3905,30,2490,20151119
CO,Colorado,8,County,Archuleta County,4,7,1972,1,Annual,0,1,Total Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),10166000,51,2417,20151119
CO,Colorado,8,County,Archuleta County,4,7,1972,1,Annual,0,2,Per Capita Personal Income - Bureau of Economic Analysis,3,Bureau of Economic Analysis (BEA),4206,32,2417,20151119
